site_clean,AGB,b1_wfp_dry_p50,b1_ccw_dry_p50,b1_hsd_p50,b1_hmc_p50,b1_hcv_p50,b1_h99_p50,b1_h25_p50,b1_dp1fm_p50,b1_dp1fm_dry_p50,b2_dp1fm_p50,b2_dp1fm_dry_p50,b3_dp1fm_p50,b3_dp1fm_dry_p50,b1_dbifm_p50,b2_dbifm_p50,b3_dbifm_p50,b4_dbifm_p50,b5_dbifm_p50,b6_dbifm_p50,dbifmdry_GNDVI_p50,dbifman_GNDVI_p50,dbifmdry_MSR_p50,dbifman_MSR_p50,dbifmdry_NBR_p50,dbifman_NBR_p50,dbifmdry_NDVI_p50,dbifman_NDVI_p50,dbifmdry_CVI_p50,dbifman_CVI_p50,dbifmdry_GDVI_p50,dbifman_GDVI_p50,dbifmdry_GSAVI_p50,dbifman_GSAVI_p50,dbifmdry_NDGI_p50,dbifman_NDGI_p50,dbifmdry_RI_p50,dbifman_RI_p50,dbifmdry_NDII_p50,dbifman_NDII_p50,dbifmdry_MSAVI_p50,dbifman_MSAVI_p50,dbifmdry_SAVI_p50,dbifman_SAVI_p50,dbifmdry_DVI_p50,dbifman_DVI_p50,dbifmdry_r42_p50,dbifman_r42_p50,dbifmdry_r32_p50,dbifman_r32_p50,dbifmdry_r43_p50,dbifman_r43_p50,dbifmdry_r52_p50,dbifman_r52_p50,dbifmdry_r53_p50,dbifman_r53_p50,dbifmdry_r54_p50,dbifman_r54_p50,dbifmdry_r62_p50,dbifman_r62_p50,dbifmdry_r63_p50,dbifman_r63_p50,dbifmdry_r64_p50,dbifman_r64_p50,dbifmdry_r65_p50,dbifman_r65_p50,mean_agap_p50,mean_dgap_p50,mean_drio_p50,mean_dpos_p50,dr_dsum_p50,dr_dsii_p50,dr_wsum_p50,dr_wsii_p50,tx_dsum_p50,tx_dsii_p50,tx_wsum_p50,tx_wsii_p50,rx_wsum_p50,rx_wsii_p50,rx_dsii_p50,ma_asum_p50,ma_dsii_p50,b1_wfp_dry_p99,b1_ccw_dry_p99,b1_hsd_p99,b1_hmc_p99,b1_hcv_p99,b1_h99_p99,b1_h25_p99,b1_dp1fm_p99,b1_dp1fm_dry_p99,b2_dp1fm_p99,b2_dp1fm_dry_p99,b3_dp1fm_p99,b3_dp1fm_dry_p99,b1_dbifm_p99,b2_dbifm_p99,b3_dbifm_p99,b4_dbifm_p99,b5_dbifm_p99,b6_dbifm_p99,dbifmdry_GNDVI_p99,dbifman_GNDVI_p99,dbifmdry_MSR_p99,dbifman_MSR_p99,dbifmdry_NBR_p99,dbifman_NBR_p99,dbifmdry_NDVI_p99,dbifman_NDVI_p99,dbifmdry_CVI_p99,dbifman_CVI_p99,dbifmdry_GDVI_p99,dbifman_GDVI_p99,dbifmdry_GSAVI_p99,dbifman_GSAVI_p99,dbifmdry_NDGI_p99,dbifman_NDGI_p99,dbifmdry_RI_p99,dbifman_RI_p99,dbifmdry_NDII_p99,dbifman_NDII_p99,dbifmdry_MSAVI_p99,dbifman_MSAVI_p99,dbifmdry_SAVI_p99,dbifman_SAVI_p99,dbifmdry_DVI_p99,dbifman_DVI_p99,dbifmdry_r42_p99,dbifman_r42_p99,dbifmdry_r32_p99,dbifman_r32_p99,dbifmdry_r43_p99,dbifman_r43_p99,dbifmdry_r52_p99,dbifman_r52_p99,dbifmdry_r53_p99,dbifman_r53_p99,dbifmdry_r54_p99,dbifman_r54_p99,dbifmdry_r62_p99,dbifman_r62_p99,dbifmdry_r63_p99,dbifman_r63_p99,dbifmdry_r64_p99,dbifman_r64_p99,dbifmdry_r65_p99,dbifman_r65_p99,mean_agap_p99,mean_dgap_p99,mean_drio_p99,mean_dpos_p99,dr_dsum_p99,dr_dsii_p99,dr_wsum_p99,dr_wsii_p99,tx_dsum_p99,tx_dsii_p99,tx_wsum_p99,tx_wsii_p99,rx_wsum_p99,rx_wsii_p99,rx_dsii_p99,ma_asum_p99,ma_dsii_p99,site_name,lon_gda94,lat_gda94,date,bio_agb_kg1ha,c_agb_kg1ha,bio_agb_30,geometry
AMG01.2012,34886.364446994616,44.0,67.0,103.68885040283205,105.91046142578124,164.11447143554688,113.71537017822266,103.0032958984375,13.0,1.0,29.0,44.0,55.0,54.0,319.0,641.0,956.0,2187.0,2280.0,1460.0,5898277,5442588,7201101,5096750,2881356,2000000,4947937,3900800,50775600,50377506,1438000,1531000,2899973,2939332,-1341991,-1957340,1341991,1957340,-338983,-151893,2197130,1970310,2534571,2250462,1283000,1219000,38717550,33855213,13097404,14859716,29561240,22783217,41431107,34908209,31633068,23491841,10700860,10311029,21393388,22570142,16334067,15188811,5525501,6666667,5163605,6465569,2.940476179122925,0.0,0.1458333358168602,0.0,7.0999999999989996,0.9464788732395034,3802.099999999984,1.4852017869823877,4597.300000000002,0.0875644399973898,7834.200000000003,0.05471248773691901,7668.100000000002,0.1232713635525284,0.1393681589458938,913.3,0.2751230180426461,49.76000000000001,72.76,104.9313543701172,108.72971160888672,197.06518493652345,117.5315234375,104.920530090332,17.68,3.84,33.92,47.84,58.84,57.92,356.76,671.5999999999998,1016.88,2242.6,2334.32,1558.32,5898277,5442588,7201101,5096750,2881356,2000000,4947937,3900800,50775600,50377506,1438000,1531000,2899973,2939332,-1341991,-1957340,1341991,1957340,-338983,-151893,2197130,1970310,2534571,2250462,1283000,1219000,38717550,33855213,13097404,14859716,29561240,22783217,41431107,34908209,31633068,23491841,10700860,10311029,21393388,22570142,16334067,15188811,5525501,6666667,5163605,6465569,2.940476179122925,0.0,0.1458333358168602,0.0,7.0999999999989996,0.9464788732395034,3802.099999999984,1.4852017869823877,4597.300000000002,0.0875644399973898,7834.200000000003,0.05471248773691901,7668.100000000002,0.1232713635525284,0.1393681589458938,913.3,0.2751230180426461,amg01,134.05167792472756,-16.38097178688785,20120619,34886.364446994616,17094.31857902736,3139.7728002295153,POINT (134.0516779247276 -16.38097178688785)
AMG05.2012,102752.18658892123,36.0,56.0,103.02740097045898,105.15347671508788,157.87693786621094,111.09813690185548,102.71026992797852,15.0,9.5,17.0,38.0,66.5,51.5,378.5,602.0,819.0,1583.0,2263.0,1610.5,5793397,4566004,7222079,4008002,2241024,-67818,4957136,3248355,47524435,36617590,1088000,1010000,2372783,2100666,-1173184,-1547117,1173184,1547117,-539075,-1695876,1753382,1328451,2111557,1594456,983000,790000,37477895,26777008,12648421,13648199,29630493,19619444,41738947,37718837,32999334,27636493,11136951,14086277,23753684,27149584,18779960,19892429,6338052,10139140,5691012,7197885,3.0,24.0,0.0416666679084301,0.0399662256240844,0.8999999999996362,1.2,3732.399999999984,1.5199335548172823,4619.600000000001,0.0877824919906485,7913.799999999997,0.0508551066310929,7436.299999999997,0.1342026852831957,0.1462162236455097,808.4999999999999,0.2490084985835694,39.0,60.0,104.69976188659668,107.45199401855469,165.55808441162108,115.97830574035645,103.52875534057621,19.67,11.0,23.78,40.0,69.0,59.56,418.67000000000013,678.48,885.34,1824.27,2412.6,1853.87,5793397,4566004,7222079,4008002,2241024,-67818,4957136,3248355,47524435,36617590,1088000,1010000,2372783,2100666,-1173184,-1547117,1173184,1547117,-539075,-1695876,1753382,1328451,2111557,1594456,983000,790000,37477895,26777008,12648421,13648199,29630493,19619444,41738947,37718837,32999334,27636493,11136951,14086277,23753684,27149584,18779960,19892429,6338052,10139140,5691012,7197885,3.0,24.0,0.0416666679084301,0.0399662256240844,0.8999999999996362,1.2,3732.399999999984,1.5199335548172823,4619.600000000001,0.0877824919906485,7913.799999999997,0.0508551066310929,7436.299999999997,0.1342026852831957,0.1462162236455097,808.4999999999999,0.2490084985835694,amg05,134.09063663514416,-16.73125956338392,20120621,102752.18658892123,50348.57142857141,9247.696793002911,POINT (134.0906366351442 -16.73125956338392)
AMG06.2012,12853.644314868803,29.0,47.0,103.15886688232422,104.51953887939452,163.67877197265625,111.1538543701172,102.34318542480469,24.0,6.0,26.0,33.0,48.0,59.0,334.0,697.0,1009.0,2054.0,1996.0,1317.0,5341797,4888319,5995724,4180551,2197205,2119225,4379863,3357424,42394332,42186907,1094000,1335000,2328320,2590221,-1255729,-1831480,1255729,1831480,-836979,106885,1668140,1645692,1997912,1905768,957000,1022000,32953645,29100159,12886094,14478537,25573030,20098825,38956441,28478537,30231381,19669485,11821588,9786385,21076171,18923688,16355748,13070166,6395702,6502950,5410189,6644895,1.8571428060531616,24.0,0.0,0.0,1.3999999999996362,1.2,3746.8999999999824,1.5142803765398514,4615.300000000001,0.0877429419539358,7901.700000000005,0.0513415738746996,7468.799999999997,0.1329301322071245,0.1456756461991493,822.0999999999997,0.2479025710419486,37.0,58.0,104.31260528564451,107.4299462890625,170.41256958007813,115.10172973632812,103.53210174560549,28.840000000000003,6.92,27.92,39.0,51.92,63.92,367.68,759.72,1078.64,2080.76,2069.12,1437.6,5341797,4888319,5995724,4180551,2197205,2119225,4379863,3357424,42394332,42186907,1094000,1335000,2328320,2590221,-1255729,-1831480,1255729,1831480,-836979,106885,1668140,1645692,1997912,1905768,957000,1022000,32953645,29100159,12886094,14478537,25573030,20098825,38956441,28478537,30231381,19669485,11821588,9786385,21076171,18923688,16355748,13070166,6395702,6502950,5410189,6644895,1.8571428060531616,24.0,0.0,0.0,1.3999999999996362,1.2,3746.8999999999824,1.5142803765398514,4615.300000000001,0.0877429419539358,7901.700000000005,0.0513415738746996,7468.799999999997,0.1329301322071245,0.1456756461991493,822.0999999999997,0.2479025710419486,amg06,134.08784833411886,-16.694233223705538,20120621,12853.644314868803,6298.2857142857165,1156.8279883381922,POINT (134.0878483341189 -16.69423322370554)
AMG08.2012,122956.26822157436,58.0,80.0,103.13644409179688,107.1794204711914,144.3368377685547,112.92491149902344,104.55286407470705,14.0,4.0,35.0,54.0,49.0,41.0,169.0,365.0,419.0,1271.0,1457.0,844.0,6409966,5514706,11725261,7218801,4296991,1826249,6503417,4955700,44267830,40355191,1132000,900000,2509607,2035585,160256,-769231,-160256,769231,1027397,-786026,2118919,1524402,2535524,1880323,1142000,839000,45691769,34525901,9702277,11647985,47093863,29641092,37176883,40405938,38317690,34689207,8136451,11703080,18231173,23865495,18790614,20488947,3990034,6912345,4903901,5906433,3.6666667461395264,0.0,0.0,0.0,3.199999999999364,1.0750000000000888,3786.499999999984,1.4942408179434508,4587.6,0.0881768244833901,7851.000000000001,0.0530159943228341,7570.900000000002,0.1288014446291533,0.1432105333156003,871.1,0.249116392443632,61.76,82.84,105.50166198730469,110.0047817993164,152.39919677734378,118.16513427734377,105.29387481689452,15.0,4.92,37.0,56.84,55.84,47.52,182.52,391.4,479.76,1299.36,1569.92,963.12,6409966,5514706,11725261,7218801,4296991,1826249,6503417,4955700,44267830,40355191,1132000,900000,2509607,2035585,160256,-769231,-160256,769231,1027397,-786026,2118919,1524402,2535524,1880323,1142000,839000,45691769,34525901,9702277,11647985,47093863,29641092,37176883,40405938,38317690,34689207,8136451,11703080,18231173,23865495,18790614,20488947,3990034,6912345,4903901,5906433,3.6666667461395264,0.0,0.0,0.0,3.199999999999364,1.0750000000000888,3786.499999999984,1.4942408179434508,4587.6,0.0881768244833901,7851.000000000001,0.0530159943228341,7570.900000000002,0.1288014446291533,0.1432105333156003,871.1,0.249116392443632,amg08,134.0886916313465,-16.56931920464764,20120622,122956.26822157436,60248.57142857143,11066.06413994169,POINT (134.0886916313465 -16.56931920464764)
AMG10.2012,11795.218658892129,18.5,32.0,102.62248992919922,104.27529525756836,160.0711212158203,110.46706008911131,102.23448181152344,1.5,1.5,28.5,25.5,69.0,72.5,385.0,615.5,884.0,1985.0,2578.5,1488.5,5260295,5261137,5191686,5173771,1178145,1377040,3953819,3943860,44917065,45044144,1354000,1370000,2681542,2702525,-1649555,-1662162,1649555,1662162,-1367033,-1267853,1841765,1854927,2136276,2147771,1113000,1124000,32180205,32183536,13944027,13989204,23078128,23005981,42374061,41533063,30388682,29689369,13167741,12905065,25406143,24391363,18220090,17435848,7894960,7578833,5995683,5872758,1.5,0.0,0.0833333358168602,0.0,4.7999999999992715,0.8666666666667298,3781.9999999999827,1.4981037999546782,4592.899999999998,0.0870648174356071,7836.2,0.0542026565354198,7693.200000000003,0.1238459195876135,0.1385875444289908,916.1,0.2683544303797468,22.89,38.78,103.43773429870606,106.84046394348144,182.13036926269533,113.16068603515629,104.59805770874023,2.0,2.890000000000001,39.67,28.89,73.0,76.78,438.48,656.8900000000001,925.78,2063.69,2649.45,1625.2399999999998,5260295,5261137,5191686,5173771,1178145,1377040,3953819,3943860,44917065,45044144,1354000,1370000,2681542,2702525,-1649555,-1662162,1649555,1662162,-1367033,-1267853,1841765,1854927,2136276,2147771,1113000,1124000,32180205,32183536,13944027,13989204,23078128,23005981,42374061,41533063,30388682,29689369,13167741,12905065,25406143,24391363,18220090,17435848,7894960,7578833,5995683,5872758,1.5,0.0,0.0833333358168602,0.0,4.7999999999992715,0.8666666666667298,3781.9999999999827,1.4981037999546782,4592.899999999998,0.0870648174356071,7836.2,0.0542026565354198,7693.200000000003,0.1238459195876135,0.1385875444289908,916.1,0.2683544303797468,amg10,134.18768033424186,-16.41559201378762,20120622,11795.218658892129,5779.657142857142,1061.5696793002915,POINT (134.1876803342419 -16.41559201378762)
ANT01.2012,0.0,1.0,1.5,101.00178909301758,102.0335807800293,144.5415267944336,104.62559127807616,101.1630630493164,20.0,16.0,3.0,1.0,76.5,81.0,813.0,1135.0,1512.5,2266.5,3179.5,2211.5,3187001,3380076,2126164,2343498,-87851,159716,1904272,2074875,25478188,26812335,1118000,1157000,1971086,2060430,-1365607,-1403642,1365607,1403642,-1751070,-1616328,1093678,1174111,1249156,1342545,740000,787000,19350993,20198442,13160683,13263266,14703639,15228860,27567097,27989857,20946554,21103292,14245830,13857434,19693970,19563428,14964246,14750083,10177240,9685612,7144013,6989470,24.0,24.0,0.0,0.0,4.699999999999363,0.987234042553356,3591.199999999986,1.5864175922095332,4519.999999999999,0.0867699115044248,7991.899999999998,0.0435440883894943,6767.499999999997,0.1352514644572272,0.1581661891117478,641.5000000000001,0.3085158150851582,1.0,1.99,101.19923469543457,102.33327255249023,148.27826721191406,105.48940536499023,101.2970107269287,23.89,19.89,7.780000000000001,5.780000000000001,79.89,84.89,884.93,1187.8000000000004,1557.9,2437.8100000000004,3215.23,2397.67,3187001,3380076,2126164,2343498,-87851,159716,1904272,2074875,25478188,26812335,1118000,1157000,1971086,2060430,-1365607,-1403642,1365607,1403642,-1751070,-1616328,1093678,1174111,1249156,1342545,740000,787000,19350993,20198442,13160683,13263266,14703639,15228860,27567097,27989857,20946554,21103292,14245830,13857434,19693970,19563428,14964246,14750083,10177240,9685612,7144013,6989470,24.0,24.0,0.0,0.0,4.699999999999363,0.987234042553356,3591.199999999986,1.5864175922095332,4519.999999999999,0.0867699115044248,7991.899999999998,0.0435440883894943,6767.499999999997,0.1352514644572272,0.1581661891117478,641.5000000000001,0.3085158150851582,ant01,135.29324134960294,-17.978808485361704,20120623,0.0,0.0,0.0,POINT (135.2932413496029 -17.9788084853617)
ANT02.2012,0.0,3.0,6.0,101.57368850708008,103.65391159057616,154.55343627929688,101.87971496582031,101.44158554077148,11.5,8.0,12.5,10.0,74.0,81.0,589.5,869.0,1151.0,2049.5,2777.0,1810.0,4041681,3967485,3152178,3058470,795902,606777,2673451,2606931,32106672,31438010,1183000,1147000,2238552,2180332,-1533981,-1517510,1533981,1517510,-1444629,-1576971,1360000,1312306,1577702,1526880,867000,835000,23563515,23144822,13618911,13577570,17302055,17046366,31517670,31817921,23142577,23434180,13375623,13747317,20083095,20497707,14746476,15096742,8522962,8856282,6372011,6442189,24.0,24.0,0.0,0.0,2.6999999999989086,0.97777777777789,3553.0999999999876,1.6078997414732457,4494.200000000002,0.0891727114948155,8021.5,0.0441029020222437,6471.000000000001,0.1397266927169569,0.1747470781868148,571.1999999999998,0.3260663507109005,12.8,22.70000000000001,102.48598052978515,104.73447334289551,164.10548751831055,103.4392308807373,102.26860443115234,16.0,11.78,18.89,20.78,79.0,85.89,672.46,978.47,1367.59,2168.61,3053.6,1966.79,4041681,3967485,3152178,3058470,795902,606777,2673451,2606931,32106672,31438010,1183000,1147000,2238552,2180332,-1533981,-1517510,1533981,1517510,-1444629,-1576971,1360000,1312306,1577702,1526880,867000,835000,23563515,23144822,13618911,13577570,17302055,17046366,31517670,31817921,23142577,23434180,13375623,13747317,20083095,20497707,14746476,15096742,8522962,8856282,6372011,6442189,24.0,24.0,0.0,0.0,2.6999999999989086,0.97777777777789,3553.0999999999876,1.6078997414732457,4494.200000000002,0.0891727114948155,8021.5,0.0441029020222437,6471.000000000001,0.1397266927169569,0.1747470781868148,571.1999999999998,0.3260663507109005,ant02,135.0409458383976,-18.22450361999229,20120624,0.0,0.0,0.0,POINT (135.0409458383976 -18.22450361999229)
ANT03.2012,2770.845481049563,65.0,85.5,102.05987548828124,104.4870948791504,141.99118041992188,103.10378646850586,103.53943252563477,4.5,4.0,48.0,59.5,46.0,35.0,541.5,780.5,872.5,2303.5,2458.0,1474.5,5523507,4970949,7320508,6270403,3374751,2325272,5000000,4516432,40085075,33475721,1915000,1540000,3392583,2852556,-723252,-586103,723252,586103,357968,-333472,2866948,2348310,3133442,2641245,1794000,1443000,34688574,29764756,11566796,11247861,29989787,26462592,32284149,31811377,27911057,28282156,9306854,10687599,17178909,18539350,14851917,16482555,4952325,6228625,5321159,5827899,24.0,24.0,0.0,0.0,2.6999999999989086,0.97777777777789,3553.0999999999876,1.6078997414732457,4494.200000000002,0.0891727114948155,8021.5,0.0441029020222437,6471.000000000001,0.1397266927169569,0.1747470781868148,571.1999999999998,0.3260663507109005,71.0,90.0,102.66925300598145,105.47230857849121,145.41422683715822,103.30634780883793,105.27030982971192,6.0,5.8900000000000015,53.67,65.0,56.12000000000001,47.12000000000001,586.35,832.9,942.9,2577.55,2672.12,1595.04,5523507,4970949,7320508,6270403,3374751,2325272,5000000,4516432,40085075,33475721,1915000,1540000,3392583,2852556,-723252,-586103,723252,586103,357968,-333472,2866948,2348310,3133442,2641245,1794000,1443000,34688574,29764756,11566796,11247861,29989787,26462592,32284149,31811377,27911057,28282156,9306854,10687599,17178909,18539350,14851917,16482555,4952325,6228625,5321159,5827899,24.0,24.0,0.0,0.0,2.6999999999989086,0.97777777777789,3553.0999999999876,1.6078997414732457,4494.200000000002,0.0891727114948155,8021.5,0.0441029020222437,6471.000000000001,0.1397266927169569,0.1747470781868148,571.1999999999998,0.3260663507109005,ant03,135.05800424006875,-18.24023510938841,20120624,2770.845481049563,1357.7142857142858,249.37609329446067,POINT (135.0580042400688 -18.24023510938841)
ANT04.2012,0.0,29.0,45.0,102.1297836303711,103.74293518066406,150.87686157226562,102.427001953125,102.25202941894531,10.0,9.0,27.0,32.0,63.0,57.0,610.0,877.0,1094.0,2078.0,2477.0,1538.0,4401637,4090602,4108774,3689780,1851852,1545706,3312323,3041302,33244743,30337489,1291000,1210000,2441069,2280724,-1275239,-1198389,1275239,1198389,-646590,-855638,1675039,1539358,1928912,1778917,1051000,972000,25718344,23844394,12919372,12724383,19906806,18739135,29270833,28314264,22656545,22251973,11381306,11874600,17686688,17466311,13690052,13726646,6877071,7325123,6042427,6168732,24.0,24.0,0.0,0.0,3.4999999999995453,0.8571428571428645,3552.599999999989,1.6081099556863827,4494.5,0.0889531649794193,8021.7,0.0441730377778846,6472.9,0.1384232724126743,0.1731136480014459,580.6000000000003,0.3239567233384854,36.79,57.68000000000001,102.6987600708008,103.99907440185551,160.52452880859374,103.12939849853515,102.43966674804688,12.0,11.92,34.84,38.84,80.8,80.88,669.44,923.28,1232.28,2198.48,2630.72,1640.64,4401637,4090602,4108774,3689780,1851852,1545706,3312323,3041302,33244743,30337489,1291000,1210000,2441069,2280724,-1275239,-1198389,1275239,1198389,-646590,-855638,1675039,1539358,1928912,1778917,1051000,972000,25718344,23844394,12919372,12724383,19906806,18739135,29270833,28314264,22656545,22251973,11381306,11874600,17686688,17466311,13690052,13726646,6877071,7325123,6042427,6168732,24.0,24.0,0.0,0.0,3.4999999999995453,0.8571428571428645,3552.599999999989,1.6081099556863827,4494.5,0.0889531649794193,8021.7,0.0441730377778846,6472.9,0.1384232724126743,0.1731136480014459,580.6000000000003,0.3239567233384854,ant04,135.08433404228157,-18.250971978667053,20120624,0.0,0.0,0.0,POINT (135.0843340422816 -18.25097197866705)
ANT06.2012,25014.577259475223,50.0,73.0,101.67255401611328,102.87091827392578,146.0487060546875,105.01303100585938,102.23199462890624,15.0,10.0,44.0,48.0,41.0,39.0,424.0,647.0,768.0,2028.0,1844.0,1013.0,5207477,5068595,6601499,5987416,3560000,3337709,4675325,4375663,36533498,36529821,1393000,1367000,2722476,2664025,-703408,-890411,703408,890411,796178,583333,2180429,2061183,2501287,2370640,1296000,1237000,31693213,30547762,11507964,11952238,27540244,25558195,27030817,27184369,23488792,22744167,8528898,8898972,15057133,15257181,13084098,12765125,4750901,4994533,5570358,5612483,24.0,24.0,0.0,0.0,3.9999999999990905,0.8999999999999772,3557.299999999986,1.6056077843950725,4493.800000000001,0.0889759223819485,8020.299999999997,0.0439812547090329,6479.699999999996,0.1376033722901633,0.1718160271218985,584.4,0.3207373271889402,58.84,80.84,104.02727142333984,103.15317016601564,149.64027099609376,105.60563110351562,105.08582427978516,17.0,13.92,46.0,54.84,44.84,45.0,543.6800000000002,749.36,895.2,2066.04,1904.84,1158.88,5207477,5068595,6601499,5987416,3560000,3337709,4675325,4375663,36533498,36529821,1393000,1367000,2722476,2664025,-703408,-890411,703408,890411,796178,583333,2180429,2061183,2501287,2370640,1296000,1237000,31693213,30547762,11507964,11952238,27540244,25558195,27030817,27184369,23488792,22744167,8528898,8898972,15057133,15257181,13084098,12765125,4750901,4994533,5570358,5612483,24.0,24.0,0.0,0.0,3.9999999999990905,0.8999999999999772,3557.299999999986,1.6056077843950725,4493.800000000001,0.0889759223819485,8020.299999999997,0.0439812547090329,6479.699999999996,0.1376033722901633,0.1718160271218985,584.4,0.3207373271889402,ant06,135.15251384766418,-18.266322156185524,20120625,25014.577259475223,12257.142857142859,2251.31195335277,POINT (135.1525138476642 -18.26632215618552)
