uid,site,date,lon_gda94,lat_gda94,tot_ba_m2ha,bio_l_kg1ha,bio_t_kg1ha,bio_b_kg1ha,bio_w_kg1ha,bio_br_kg1ha,bio_s_kg1ha,bio_r_kg1ha,bio_agb_kg1ha,c_l_kg1ha,c_t_kg1ha,c_b_kg1ha,c_w_kg1ha,c_br_kg1ha,c_s_kg1ha,c_r_kg1ha,c_agb_kg1ha
1,NTAARP0001,20160602,132.2701,-13.55729,1.05,4130.921985815597,4129.977324263034,15145.555555555533,48120.81632653054,36589.342403628056,63266.371882086074,21520.22675736958,103818.02721088419,1941.5333333333303,2023.6888888888864,7421.322222222211,23579.199999999964,17928.77777777775,31000.522222222175,10544.911111111094,50870.83333333325
2,NTAARP0002,20160602,132.2944,-13.54561,0.894444444444444,3604.2163120567393,3603.6768707483016,13317.914965986402,42440.846938775525,32259.370748299338,55758.76190476193,18938.659863945584,91475.23809523814,1693.9816666666675,1765.8016666666676,6525.778333333336,20796.015000000007,15807.091666666674,27321.793333333346,9279.943333333336,44822.86666666668
3,NTAARP0003,20160603,132.4571,-13.51697,0.75,2605.567375886525,2605.544217687075,9761.08843537415,31268.26530612245,23752.89115646259,41029.3537414966,13900.272108843537,67281.46258503402,1224.6166666666668,1276.7166666666667,4782.933333333333,15321.449999999999,11638.916666666668,20104.38333333333,6811.133333333333,32967.91666666667
4,NTADAC0001,20130528,130.7779,-13.15835,2.0,3053.451536643026,3052.4716553287976,11514.058956916098,43716.8140589569,27016.972789115644,55230.873015872996,17802.42630385487,85176.66666666664,1435.122222222222,1495.7111111111108,5641.888888888888,21421.23888888888,13238.316666666666,27063.12777777777,8723.188888888886,41736.56666666665
5,NTADAC0002,20160506,132.3403,-12.73922,0.827777777777778,2689.257683215131,2688.104308390023,10250.392290249434,42429.33333333335,23607.369614512474,52679.72562358278,16563.569160997737,78866.58730158732,1263.9511111111115,1317.1711111111113,5022.692222222223,20790.37333333334,11567.611111111111,25813.06555555556,8116.148888888891,38644.62777777779
6,NTAGFU0001,20120412,137.0693,-18.90551,0.25,234.97340425531917,235.07653061224494,918.4948979591837,2988.137755102041,2265.9438775510203,3906.632653061225,1313.5204081632653,6397.95918367347,110.4375,115.18750000000001,450.0625,1464.1875,1110.3125,1914.2500000000002,643.625,3135.0
7,NTAGFU0002,20120413,137.0522,-18.91812,0.9,178.08510638297875,178.16326530612244,696.1224489795919,2264.6938775510207,1717.3469387755101,2960.816326530612,995.5102040816327,4848.9795918367345,83.7,87.3,341.1,1109.7,841.5,1450.8,487.8,2376.0
8,NTAGFU0003,20120414,137.1244,-18.63437,3.66111111111111,724.432624113475,724.7505668934239,2831.757369614512,9212.55102040816,6985.997732426302,12044.308390022674,4049.6371882086155,19725.170068027204,340.48333333333323,355.1277777777777,1387.5611111111107,4514.149999999999,3423.138888888888,5901.71111111111,1984.3222222222216,9665.33333333333
9,NTAGFU0004,20120415,137.1235,-18.62406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,NTAGFU0005,20120416,137.1211,-18.65319,0.14,236.9521276595745,237.0561224489796,926.2295918367347,3013.3010204081634,2285.0255102040815,3939.530612244898,1324.5816326530612,6451.836734693878,111.3675,116.1575,453.8525,1476.5175,1119.6625,1930.37,649.045,3161.4
11,NTAGFU0006,20120418,136.8471,-18.77869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,NTAGFU0007,20120419,136.8262,-18.77691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,NTAGFU0008,20120420,136.8653,-18.78608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,NTAGFU0009,20120421,136.9834,-18.80098,0.1,297.90780141844067,298.03854875283537,1164.5011337868514,3788.469387755113,2872.845804988671,4952.970521541964,1665.3287981859464,8111.564625850364,140.0166666666671,146.03888888888932,570.6055555555572,1856.3500000000054,1407.6944444444487,2426.9555555555626,816.0111111111137,3974.6666666666783
15,NTAGFU0010,20120509,137.1006,-17.89628,1.0,197.87234042553192,197.9591836734694,773.469387755102,2516.326530612245,1908.1632653061224,3289.795918367347,1106.1224489795918,5387.755102040816,93.0,97.0,379.0,1233.0,935.0,1612.0,542.0,2640.0
16,NTAGFU0011,20120510,137.0724,-17.89571,0.2,388.65425531914906,388.8248299319729,1519.2227891156465,4942.484693877553,3747.950680272109,6461.707482993198,2172.608843537415,10582.448979591838,182.66750000000005,190.5241666666667,744.4191666666668,2421.8175000000006,1836.4958333333334,3166.236666666667,1064.5783333333334,5185.400000000001
17,NTAGFU0012,20120511,137.019,-17.89564,1.38888888888889,274.8226950354612,274.94331065759656,1074.2630385487537,3494.8979591836764,2650.2267573696163,4569.16099773243,1536.2811791383233,7482.993197278917,129.16666666666677,134.7222222222223,526.3888888888893,1712.5000000000014,1298.611111111112,2238.8888888888905,752.7777777777784,3666.6666666666692
18,NTAGFU0013,20120512,137.0116,-17.89591,0.3,360.5673758865244,360.725623582766,1409.433106575962,4585.306122448975,3477.0975056689304,5994.739229024936,2015.6009070294763,9817.68707482992,169.46666666666647,176.75555555555533,690.6222222222214,2246.7999999999975,1703.7777777777758,2937.422222222219,987.6444444444434,4810.666666666661
19,NTAGFU0014,20120514,136.9389,-17.75179,0.9,399.0425531914893,399.21768707482977,1559.8299319727885,5074.591836734692,3848.129251700679,6634.421768707481,2230.6802721088425,10865.306122448976,187.54999999999995,195.6166666666666,764.3166666666664,2486.5499999999993,1885.5833333333328,3250.8666666666654,1093.0333333333328,5323.999999999998
20,NTAGFU0015,20120514,136.943,-17.74446,0.1,293.84042553191495,293.9693877551021,1148.6020408163267,3736.744897959184,2833.622448979592,4885.34693877551,1642.591836734694,8000.816326530613,138.10500000000002,144.04500000000002,562.815,1831.005,1388.475,2393.82,804.87,3920.4
21,NTAGFU0016,20120516,137.2603,-17.22089,0.2,466.405775075988,466.32410106899914,1719.1010689990287,5473.097667638486,4160.570942662781,7192.198736637513,2444.0038872691944,11800.138483965018,219.21071428571435,228.49880952380957,842.359523809524,2681.817857142858,2038.6797619047625,3524.1773809523816,1197.5619047619052,5782.067857142859
22,NTAGFU0017,20120517,137.158,-17.3549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,NTAGFU0018,20120518,137.1834,-17.27249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,NTAGFU0019,20120518,137.2363,-17.21774,0.4,394.8794326241134,394.798185941043,1451.0702947845803,4614.408163265305,3508.276643990929,6065.478458049886,2062.303854875283,9952.517006802718,185.59333333333328,193.45111111111106,711.0244444444443,2261.0599999999995,1719.0555555555552,2972.084444444444,1010.5288888888887,4876.733333333332
25,NTAGFU0020,20120605,135.9633,-16.72487,0.5,1179.5390070921983,1180.0566893424034,4610.736961451247,15000.102040816326,11374.773242630383,19610.839002267574,6593.718820861678,32117.006802721087,554.3833333333332,578.2277777777776,2259.261111111111,7350.049999999999,5573.638888888888,9609.31111111111,3230.922222222222,15737.333333333332
26,NTAGFU0021,20120606,135.9429,-16.7154,1.31428571428571,598.9171732522789,599.1800291545181,2341.126093294457,7616.381195335266,5775.6013119533445,9957.507288629724,3347.995626822153,16307.58017492709,281.49107142857105,293.5982142857139,1147.151785714284,3732.0267857142803,2830.0446428571386,4879.178571428564,1640.517857142855,7990.714285714274
27,NTAGFU0022,20120607,135.9634,-16.73101,1.5125,338.8563829787234,339.0051020408164,1324.566326530612,4309.209183673469,3267.729591836735,5633.775510204082,1894.2346938775509,9226.530612244898,159.2625,166.1125,649.0374999999999,2111.5125,1601.1875,2760.55,928.175,4521.0
28,NTAGFU0023,20120609,135.83,-16.82389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,NTAGFU0024,20120610,135.8932,-16.826,0.533333333333333,105.53191489361696,105.57823129251693,412.51700680272086,1342.0408163265297,1017.6870748299314,1754.5578231292507,589.9319727891153,2873.4693877551003,49.599999999999966,51.7333333333333,202.1333333333332,657.5999999999996,498.66666666666634,859.7333333333328,289.0666666666665,1407.999999999999
30,NTAGFU0025,20120610,135.8552,-16.82524,0.25,1101.8191489361695,1102.3027210884347,4306.935374149657,14011.744897959175,10625.289115646252,18318.68027210883,6159.258503401357,30000.816326530592,517.8549999999997,540.128333333333,2110.3983333333317,6865.754999999996,5206.391666666664,8976.153333333328,3018.036666666665,14700.39999999999
31,NTAGFU0026,20120612,135.4061,-15.80912,0.3,589.7872340425539,589.7278911564632,2189.8299319727917,6991.224489795927,5312.925170068034,9181.05442176872,3115.578231292521,15059.693877551039,277.20000000000033,288.966666666667,1073.0166666666678,3425.7000000000044,2603.3333333333367,4498.716666666673,1526.6333333333353,7379.250000000009
32,NTAGFU0027,20120613,135.4606,-15.67927,0.1,953.9787234042553,954.142857142857,3636.5510204081634,11724.428571428572,8899.897959183672,15360.979591836733,5187.714285714285,25175.91836734694,448.37,467.5299999999999,1781.91,5744.97,4360.95,7526.879999999999,2541.9799999999996,12336.2
33,NTAGFU0028,20120614,135.4598,-15.62924,0.1,802.5768321513004,802.0181405895693,3003.197278911565,12768.775510204083,6808.639455782313,15771.972789115645,4928.390022675738,23350.43083900227,377.21111111111117,392.98888888888894,1471.5666666666668,6256.700000000001,3336.2333333333336,7728.266666666666,2414.9111111111115,11441.711111111112
34,NTAGFU0029,20120615,135.409,-15.5381,0.3,561.1879432624113,561.4342403628118,2193.645124716553,7136.581632653061,5411.763038548753,9330.226757369615,3137.086167800453,15280.272108843537,263.75833333333327,275.10277777777776,1074.886111111111,3496.9249999999997,2651.7638888888887,4571.811111111111,1537.172222222222,7487.333333333333
